floe_id,area_px,perimeter_px
1,124.5,62.870057225227356
2,5560.0,460.2497800588608
3,14467.5,521.345232129097
4,2184.5,239.03657722473145
5,699.5,152.06601524353027
6,979.5,136.1248904466629
7,2142.5,245.58073365688324
8,502.0,115.74011373519897
9,87.0,69.11269748210907
10,36014.0,779.293497800827
11,8188.5,436.03152310848236
12,1021.0,167.53910303115845
13,5909.0,379.50461173057556
14,4472.0,315.1614671945572
15,7377.0,433.5289989709854
16,38669.5,913.1341181993484
17,11539.0,572.9848400354385
18,148.0,60.28427028656006
19,1473.0,211.19595742225647
20,15033.0,575.5878727436066
21,46677.5,900.1046748161316
