floe_id,area_px,centroid_x,centroid_y,avg_temp,min_temp,max_temp,std_temp
1,3,46.97899159663866,2.403361344537815,-21.899742126464844,-22.7337703704834,-21.351598739624023,0.26501867175102234
2,1,120.0,2.6728971962616823,-21.649169921875,-22.27179527282715,-21.007802963256836,0.3445400893688202
3,38,193.36328871892925,21.83900573613767,-22.44305419921875,-23.661550521850586,-21.236928939819336,0.40740877389907837
4,0,254.52380952380952,1.4285714285714286,-21.721769332885742,-22.0412654876709,-21.236928939819336,0.21712464094161987
5,26,332.76024705221784,33.128017967434026,-22.08245086669922,-22.7337703704834,-21.236928939819336,0.24305780231952667
6,37,385.40705128205127,20.760016025641026,-22.5164852142334,-23.313024520874023,-21.351598739624023,0.3887581527233124
7,7,467.08988764044943,7.099250936329588,-21.94051170349121,-22.618154525756836,-21.236928939819336,0.23019008338451385
8,18,515.0032102728732,14.976725521669342,-21.904224395751953,-22.38716697692871,-21.236928939819336,0.2425161749124527
9,16,582.9845313921747,18.049135577797998,-21.90867042541504,-22.38716697692871,-21.12233543395996,0.21471339464187622
10,9,627.8245083207262,12.649016641452345,-21.590301513671875,-22.0412654876709,-21.12233543395996,0.17177562415599823
11,1,102.69672131147541,11.491803278688524,-21.479650497436523,-22.0412654876709,-21.12233543395996,0.20702749490737915
12,8,293.32436974789914,14.884033613445379,-22.031349182128906,-22.7337703704834,-21.007802963256836,0.3377724885940552
13,2,20.34673366834171,12.773869346733669,-21.970243453979492,-22.38716697692871,-21.236928939819336,0.22798043489456177
14,1,268.4824561403509,9.412280701754385,-21.824426651000977,-22.156484603881836,-21.12233543395996,0.2867647111415863
15,0,314.7894736842105,8.31578947368421,-21.647809982299805,-22.0412654876709,-21.236928939819336,0.19306723773479462
16,9,65.90430622009569,20.58213716108453,-22.15701675415039,-22.96523094177246,-21.351598739624023,0.34090763330459595
17,2,126.30281690140845,16.028169014084508,-21.644567489624023,-22.156484603881836,-20.77899742126465,0.30989956855773926
18,0,2.5526315789473686,14.394736842105264,-21.917144775390625,-22.156484603881836,-21.5811824798584,0.18546827137470245
